Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Negative feedback from users: Hide all,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Link Clicks,Matched Audience Targeting Consumption (Video Click)
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Kikay’s, set your alarms na! ⏰‼️

Abangan niyo ako bukas sa Color Game! 6am-2pm 🤗🫶🏼

See you! 🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Kikay’s, set your alarms na! ⏰‼️

Abangan niyo ako bukas sa Color Game! 6am-2pm 🤗🫶🏼

See you! 🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",14,1/7/2026 20:51,N/A,https://www.facebook.com/reel/1538065327450829/,0,0,Videos,,,,,Lifetime,1418,456,70,52,16,2,34,34,,,8224.262,7.832,0,0,0,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,🤗,,0,1/7/2026 23:14,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0WPbb65EGNSZAEpUxayxZub8jeEi4MBBSdttLp3Fnv2MPuxtG4RiKKygJYmJgRy3Sl,0,1,Text,,,,,Lifetime,,229,17,13,4,0,16,16,,,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,Juankada Alexchoozy Juankada host Drae,,0,1/8/2026 15:17,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0hZS1KXxTJBp1WsymhXpkNJZ5xtcD6YBi4xF5v75KmdTcHjtvrXGiwyHDgHDneoHhl,0,1,Photos,,,,,Lifetime,537,247,20,13,6,1,36,15,21,,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Kikays, Kamusta kayo? 🌸

Join na sa Color Game, pumili ng tamang kulay at ipakita ang inyong Kikay power! 💅💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",,0,1/8/2026 19:49,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid025TevimH9AadpvadUZX8WVn1gW2YeQeDYDRt7dpf8AKkwxe58vqoAUf3Z5t4GyWAtl,0,0,Photos,,,,,Lifetime,3000,1166,63,47,14,2,264,123,141,,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Kikays, make sure maganda ang araw niyo! 😘 Spread love and good vibes! 🌸 Bukas uli 6am-2pm ☺️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Kikays, make sure maganda ang araw niyo! 😘 Spread love and good vibes! 🌸 Bukas uli 6am-2pm ☺️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",27,1/8/2026 23:07,N/A,https://www.facebook.com/reel/1205261424435257/,0,0,Videos,,,,,Lifetime,2016,596,79,64,10,5,43,43,,,15754.931,9.589,0,0,0,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,🫶🏻🫶🏻,,0,1/9/2026 2:26,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0yo3MrwHHhWccMrZK9s4BcG9b6vrhES53hhSfgm1N7E9yTVAfHbN1MGZv8K5cty6Gl,0,1,Photos,,,,,Lifetime,529,254,8,6,2,0,13,5,3,,,,,,,5,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Feeling fierce in maroon 🍷✨

Catch me live, Kikays! Naka-tune in na ba kayo?

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/9/2026 20:37,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02i3iVzoXvK7CTrdxS7v1jEQvmxyyfTp7B5BPiPGpLCKZp9YyxDCthS68twTDguvfcl,0,0,Photos,,,,,Lifetime,2309,937,35,30,4,1,89,26,63,,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Na-LSS na rin ba kayo sa trend na ’to, Kikays? 😆

Hop the trend na rin at ipakita niyo naman yung mga Kikays na saksakan din ng  ganda! 💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Na-LSS na rin ba kayo sa trend na ’to, Kikays? 😆

Hop the trend na rin at ipakita niyo naman yung mga Kikays na saksakan din ng  ganda! 💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",13,1/9/2026 22:29,mixed,https://www.facebook.com/reel/25348380054804394/,0,0,Videos,,,,,Lifetime,1995,585,80,64,14,2,44,44,,,9259.714,6.35,0,0,0,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Slayin’ in shades of orange 🍊

Kamusta Kikays? How’s your 2026 so far? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/10/2026 18:21,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02JHA4rXWoWELsq9tfiCPmiVjsMwgHBBL4HgNNaqcdhYGtvck2eDiV9CYhadJagKAPl,0,0,Photos,,,,,Lifetime,3520,1282,64,59,4,1,299,77,222,,,,,,,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Hindi niyo mapipigil ‘yon… at alam niyo ‘yon, sa akin pa rin kayo uuwi..

Talagang dito lang kayo uuwi sa’kin, Kikays! Sama sama tayo palagi sa Color Game😘🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Hindi niyo mapipigil ‘yon… at alam niyo ‘yon, sa akin pa rin kayo uuwi..

Talagang dito lang kayo uuwi sa’kin, Kikays! Sama sama tayo palagi sa Color Game😘🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/10/2026 21:05,N/A,https://www.facebook.com/reel/4032273647064179/,0,0,Videos,,,,,Lifetime,3745,788,168,145,17,6,100,100,,,26519.628,11.124,0,0,0,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"CATCH ME LIVE NOW, Kikays! 

Kasama sina Juankada Charm, Lance & Ellise 🌸

Don’t miss the fun! See you sa live!🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays #JuankadaLance #JuankadaCharm #JuankadaEllise",,0,1/11/2026 18:11,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0xdYqHgrZy4593zGAKvq2mfNkbKET95DiMuHmHgrAEqzidJtsWBZUJiVjgkTv3ezNl,0,0,Photos,,,,,Lifetime,889,338,37,24,10,3,52,10,42,,,,,,,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Drop a “💖” if you’re choosing confidence today, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Drop a “💖” if you’re choosing confidence today, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",24,1/11/2026 22:02,N/A,https://www.facebook.com/reel/1969683400262042/,0,0,Videos,,,,,Lifetime,3057,1003,137,109,23,5,79,79,,,25352.28,11.232,0,0,0,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Attention, Kikays! 🚨

Color Game na! 🕕 6AM–2PM

Exclusive fun, exciting prizes, at good vibes lang! See you!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/12/2026 17:56,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid037QaPds8qpr2QUWfh31cx5aVKLCcJo1cfRcPQbJyPVKGkTwqP1f8t5f5eHirhxSKKl,0,0,Photos,,,,,Lifetime,3727,1444,131,93,19,19,107,74,33,,,,,,,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Just here, doing my thing ✨

Hope this brightens your feed, Kikays! 🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Just here, doing my thing ✨

Hope this brightens your feed, Kikays! 🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",16,1/12/2026 20:21,N/A,https://www.facebook.com/reel/1590438222291331/,0,0,Videos,,,,,Lifetime,1946,636,142,124,13,5,61,61,,,11620.971,7.986,0,0,0,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"OOTD recap of the week✨

Thank you sa laging pang-subaybay sakin,Kikays! 🌸

Kitakits ulit sa Color Game, 10PM–5AM! See you!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/13/2026 17:19,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02Wjai7B5xfnfZqHpPXgcNHQXsetdJUSXKLYXoL1FmCo8T5oADFnfhNdaTxcJDBWUel,0,0,Photos,,,,,Lifetime,3003,1126,104,86,12,6,366,122,244,,,,,,,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Dressed in black, powered by confidence 🖤

Which look should I rock next, Kikays? Comment below! 👇

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Dressed in black, powered by confidence 🖤

Which look should I rock next, Kikays? Comment below! 👇

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/13/2026 21:40,N/A,https://www.facebook.com/reel/1891182855122516/,0,0,Videos,,,,,Lifetime,953,481,69,57,9,3,26,26,,,4633.836,6.145,0,0,0,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Bigla kong namiss mag-rides 🏍️

Kayo ba Kikays, may nag rirides din ba sa inyo? Kailan last ride niyo? Share niyo naman dito 🌸",,0,1/14/2026 17:57,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0nkCMZgVn2dxH8n8jWy8XftQBGGvJfM9R7Eu56tdiCDz71wqqkGKbbuH27LPMTosJl,0,0,Photos,,,,,Lifetime,1546,564,46,41,4,1,160,52,108,,,,,,,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Time to unwind 🏍️✨

Pahinga muna, breathe in, let go ng stress sa bawat takbo.

Kayo ba, paano kayo nagre-relieve ng stress? Comment below!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Time to unwind 🏍️✨

Pahinga muna, breathe in, let go ng stress sa bawat takbo.

Kayo ba, paano kayo nagre-relieve ng stress? Comment below!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",41,1/14/2026 22:21,N/A,https://www.facebook.com/reel/894551869725857/,0,0,Videos,,,,,Lifetime,519,258,52,38,12,2,28,28,,,4579.746,11.035,0,0,0,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"My big guy sa likod 👀🏍️ TARA MAMAYA COLOR GAME 10pm-5am 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","My big guy sa likod 👀🏍️ TARA MAMAYA COLOR GAME 10pm-5am 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/15/2026 20:41,N/A,https://www.facebook.com/reel/1196608699324022/,0,0,Videos,,,,,Lifetime,2373,1036,131,113,15,3,97,97,,,18915.151,12.219,0,0,0,,
1.22108E+17,6.15856E+13,JuanKada Star,"Game on na Star Babies! 

Catch me LIVE NOW hanggang 10PM sa Color Game 🎲
Step into the spotlight, Star Babies 💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,1/15/2026 22:16,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid032S9q5rX9qwFHCPmthyFhXiYR9g2AggyfPVXC93nkrcCeBhcHf3UBrFvBc8wc12yQl,0,0,Photos,,,,,Lifetime,2258,798,142,104,23,15,268,120,148,,,,,,,,
1.22108E+17,6.15856E+13,JuanKada Star,"𝗜 𝗺𝗮𝗸𝗲 𝗶𝘁 𝘀𝗼 𝗲𝗮𝘀𝘆 𝘁𝗼 𝗳𝗮𝗹𝗹 𝗶𝗻 𝗹𝗼𝘃𝗲 𝘄𝗶𝘁𝗵 𝗺𝗲 𝗦𝘁𝗮𝗿 𝗕𝗮𝗯𝗶𝗲𝘀~ 🌟

Araw araw magbibigay sainyo ng ngiti! Abang na sa LIVE mamayang 2PM na yan 💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies

#nocopyrightinfringementintendedmusicbelongstotherightfulowner #fypageシfypviralシ 

#nocopyrightinfringementintendedmusicbelongstotherightfulowner #fypviralシ #fypageシ","𝗜 𝗺𝗮𝗸𝗲 𝗶𝘁 𝘀𝗼 𝗲𝗮𝘀𝘆 𝘁𝗼 𝗳𝗮𝗹𝗹 𝗶𝗻 𝗹𝗼𝘃𝗲 𝘄𝗶𝘁𝗵 𝗺𝗲 𝗦𝘁𝗮𝗿 𝗕𝗮𝗯𝗶𝗲𝘀~ 🌟

Araw araw magbibigay sainyo ng ngiti! Abang na sa LIVE mamayang 2PM na yan 💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies

#nocopyrightinfringementintendedmusicbelongstotherightfulowner #fypageシfypviralシ 

#nocopyrightinfringementintendedmusicbelongstotherightfulowner #fypviralシ #fypageシ",30,1/15/2026 20:01,N/A,https://www.facebook.com/reel/1571326294112283/,1,0,Videos,,,,,Lifetime,1192,145,53,32,17,4,13,13,,,1480.823,4.159,0,0,0,,
1.22108E+17,6.15856E+13,JuanKada Star,"Pretty in yellow 💛 kasama sina Juankada Shann, Zia, at Ligaya!

Napanood niyo ba live namin kahapon? If you want more fun moments, tutok lang palagi! ✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #JuankadaShann #JuankadaZia #JuankadaLigaya",,0,1/15/2026 18:01,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02HT72RMRy2E8AxiR2Xy1dY1sDtUkP1tSZf9RsiRVESQDHbhTDaLW2gUqAEPS2jgqMl,0,0,Photos,,,,,Lifetime,294,114,28,16,7,5,5,5,,,,,,,,,
1.22108E+17,6.15856E+13,JuanKada Star,I like me better 🫶🏻,"I like me better when I’m with you my Star Babies! ⭐️

Kaya sana palagi niyo akong suportahan at subaybayan sa Color Game! 🫶🏻

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",7,1/15/2026 6:28,N/A,https://www.facebook.com/reel/732510049562284/,0,0,Videos,,,,,Lifetime,255,145,34,25,3,6,10,10,,,1011.312,6.566,0,0,0,,
1.22108E+17,6.15856E+13,JuanKada Star,See you star babies 2pm - 10pm 🌠💛,,0,1/14/2026 23:43,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02jmyJr628Q64VYNCm8FrtFNXJ16Zb9r86AsPMf9Moo6rasiF964qVrnVrzBkYCUZxl,0,1,Photos,,,,,Lifetime,211,95,28,20,3,5,8,,4,,,,,,,4,
1.22108E+17,6.15856E+13,JuanKada Star,"All-in na agad! ⭐️

Watch me live NOW hanggang mamayang 10PM sa Color Game! 

Don’t miss it, Star Babies!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,1/14/2026 23:25,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02pbYppv9B2FyEscjJKndvFVJr42GKUTf7MGF3jLNzChKuEhkgYeViDqEYqQHrMn2dl,0,0,Photos,,,,,Lifetime,702,361,56,38,7,11,32,13,19,,,,,,,,
1.22108E+17,6.15856E+13,JuanKada Star,Mt.Kulis ⛰️,"Sino mahilig mag-hike, star babies? ⭐️⛰️

Ang pag-akyat ng bundok ay parang buhay, may hirap, pagod, at pagsubok. Minsan gusto mo nang sumuko, pero tuloy lang. Kasi pag nasa tuktok ka na, marerealize mo na worth it lahat. 💪💛

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies

#nocopyrightinfringementintendedmusicbelongstotherightfulowner #fypシ゚viralシfypシ゚",49,1/14/2026 17:24,N/A,https://www.facebook.com/reel/848405078072195/,0,0,Videos,,,,,Lifetime,1348,137,97,78,9,10,21,21,,,2580.105,5.341,0,0,0,,
1.22108E+17,6.15856E+13,JuanKada Star,Star babies makihula na 🤭,,0,1/14/2026 4:45,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02cBXWZVXxSjM6j5StCToHs7ge9dy3dUvu9M7p1kjsmKusBmM1jG81VEppziRbgNVPl,0,1,Photos,,,,,Lifetime,241,97,28,18,8,2,17,15,2,,,,,,,,
1.22108E+17,6.15856E+13,JuanKada Star,"Keeping it simple in blue 💙

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies

#nocopyrightinfringementintendedmusicbelongstotherightfulowner #fypシ゚viralシfypシ゚","Keeping it simple in blue 💙

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies

#nocopyrightinfringementintendedmusicbelongstotherightfulowner #fypシ゚viralシfypシ゚",41,1/13/2026 21:50,N/A,https://www.facebook.com/reel/883758720732020/,0,0,Videos,,,,,Lifetime,219,150,41,27,7,7,4,4,,,876.148,4.84,0,0,0,,
1.22108E+17,6.15856E+13,JuanKada Star,"Day off muna! Wag niyo ko masyadong mamiss, Star babies ha 😌

Eto muna hopping sa trend ng Eenie Meenie with Juankada Jedi ✌️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #JuankadaJedi

#nocopyrightinfringementintendedmusicbelongstotherightfulowner","Day off muna! Wag niyo ko masyadong mamiss, Star babies ha 😌

Eto muna hopping sa trend ng Eenie Meenie with Juankada Jedi ✌️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #JuankadaJedi

#nocopyrightinfringementintendedmusicbelongstotherightfulowner",15,1/13/2026 3:00,N/A,https://www.facebook.com/reel/1174157391369471/,0,0,Videos,,,,,Lifetime,265,217,44,27,10,7,11,11,,,2312.222,8.408,0,0,0,,
1.22108E+17,6.15856E+13,JuanKada Star,🩵,"Nabitin din ba kayo sa concert ng SexBomb Star Babies? 

Dito sa’kin, siguradong hindi kayo mabibitin! Abangan niyo ako lagi sa Color Game at mapanood ang mala-SexBomb energy ko! 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies

#nocopyrightinfringementintendedmusicbelongstotherightfulowner #fypviralシ #fypageシ",40,1/12/2026 22:57,N/A,https://www.facebook.com/reel/4154248064905867/,0,0,Videos,,,,,Lifetime,1055,301,81,61,12,8,21,21,,,10671.754,13.474,0,0,0,,
1.22107E+17,6.15856E+13,JuanKada Star,"Gabi na naman na puno ng saya! ⭐️

Star Babies, kita-kits sa Color Game LIVE mula 10PM–6AM!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #fypシ゚",,0,1/12/2026 8:23,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0NxSFDBB91KAc1S7bhmD7dEL897QKgaN3cbWKWihNPXLTNYuKxd4Mwfyb2UEY4hqEl,0,0,Photos,,,,,Lifetime,1196,494,81,61,8,12,78,35,43,,,,,,,,
1.22107E+17,6.15856E+13,JuanKada Star,See you Star babies ✨️⭐️🫶🫰,,0,1/12/2026 8:21,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0VstCorb9N7xRPwTs6Cm4EY7qgNcZkPtxyPAKhKAmwqU1v2eHfFCoyqoAQMsWaoKl,0,1,Photos,,,,,Lifetime,229,97,10,10,0,0,13,6,6,,,,,,,1,
