"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
122104123587185509,61585565286734,"JuanKada Star","Kamusta, Star Babies? ⭐️

Sana masaya at puno ng good energy ang simula ng 2026 niyo! Sama-sama tayong mag shine this year 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",,0,"12/31/2025 21:14",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0275EsxDaBfaa2w3E17vs7GvPJQhB56N22cqpHyLJFKE175mThMc7eZ8rLrf3DXKFpl,0,0,Photos,,,,,Lifetime,228,81,8,7,0,1,5,3,2,,,,,,
122103968535185509,61585565286734,"JuanKada Star","Good morning! 🌞 It’s your Juankada star ✨ Join me with Juankada Shann  and Sabbie—watch now on the Juan365 app and website!

#Juan365 #Juan365Studios #ALLINJUANLIVE #Juan365ColorGame",,0,"12/31/2025 16:50",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0groDeg3Nzb3KqjT6QqhZzrEEWxSMZhaK3UrBa7ybF9YR7h8tDMB6sDfW3LXKcp95l,0,0,Photos,,,,,Lifetime,818,321,35,31,2,2,51,29,22,,,,,,
122103331443185509,61585565286734,"JuanKada Star","Despite all the challenges and tough decisions, I’m grateful I made it through this year. 🤍

Samahan niyo ako, my Star Babies, sa 2026 na puno ng saya, ngiti, at pag-asa.

Here’s to making 2026 our year! ⭐️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar",,0,"12/31/2025 01:00",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0tH3kQtPpTzkY4BX979v4CnF7KRH4iXU6edwKy9LKnbQ9NvFeHjrbbHR3fMejiHDXl,0,0,Photos,,,,,Lifetime,161,67,5,4,0,1,4,,4,,,,,,
122110442799144249,61584327477246,"Juankada Alexchoozy","NANDITO AKO 🥰","“Ngunit ganun pa man, nais kong malaman mo, Ang puso kong ito’y para lang sayo”

Sabado-Oke tayo Juankada, sa Lunes, kakantahan ko ulit kayo. Miss you all 🥰

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",41,"01/03/2026 00:31",N/A,https://www.facebook.com/reel/1446191056864412/,0,0,Videos,,,,,Lifetime,39,26,1,1,0,0,3,,3,,186.858,7.474,0,0,0
122110410405144249,61584327477246,"Juankada Alexchoozy","Hi Juankada, today is my restday pero di tayo titigil to give FUN and SHARE our Talent to everyJUAN. Sharing you some clips from my Hosting Gig. See you all on Monday 🥰 

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes","Hi Juankada, today is my restday pero di tayo titigil to give FUN and SHARE our Talent to everyJUAN. Sharing you some clips from my Hosting Gig. See you all on Monday 🥰 

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",78,"01/02/2026 18:50",N/A,https://www.facebook.com/reel/962830533003582/,0,0,Videos,,,,,Lifetime,96,66,14,12,2,0,6,,6,,945.949,13.513,0,0,0
122110408779144249,61584327477246,"Juankada Alexchoozy","Juankada Alexchoozy updated his cover photo.",,0,"01/02/2026 18:39",N/A,https://www.facebook.com/photo.php?fbid=122110408779144249&set=a.122095215045144249&type=3,0,0,Photos,,,,,Lifetime,0,0,15,14,1,0,0,,,,,,,,
122110228887144249,61584327477246,"Juankada Alexchoozy","𝗙𝗶𝗿𝘀𝘁 𝗧𝗚𝗜𝗙 𝗳𝗼𝗿 𝟮𝟬𝟮𝟲! Let’s make this day 𝐂𝐎𝐋𝐎𝐑𝐅𝐔𝐋 and 𝐖𝐎𝐍𝐃𝐄𝐑𝐅𝐔𝐋 🥰🌈

Catch me here in 𝐂𝐨𝐥𝐨𝐫 𝐆𝐚𝐦𝐞 𝐋𝐢𝐯𝐞 from 6AM–2PM! See you, mga Ka-Chooziness 🧡💙

#TGIF2026 #ColorGameLive #Juan365PH #KaChooziness #JuankadaVibes #ColorfulDay #AllInJuanLive #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness","𝗙𝗶𝗿𝘀𝘁 𝗧𝗚𝗜𝗙 𝗳𝗼𝗿 𝟮𝟬𝟮𝟲! Let’s make this day 𝐂𝐎𝐋𝐎𝐑𝐅𝐔𝐋 and 𝐖𝐎𝐍𝐃𝐄𝐑𝐅𝐔𝐋 🥰🌈

Catch me here in 𝐂𝐨𝐥𝐨𝐫 𝐆𝐚𝐦𝐞 𝐋𝐢𝐯𝐞 from 6AM–2PM! See you, mga Ka-Chooziness 🧡💙

#TGIF2026 #ColorGameLive #Juan365PH #KaChooziness #JuankadaVibes #ColorfulDay #AllInJuanLive #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness",29,"01/01/2026 20:01",N/A,https://www.facebook.com/reel/1170557828398733/,0,0,Videos,,,,,Lifetime,109,90,8,8,0,0,4,,4,,686.268,7.979,0,0,0
122110228197144249,61584327477246,"Juankada Alexchoozy","Muli nating balikan ang makulay at masayang 𝑪𝒐𝒍𝒐𝒓 𝑮𝒂𝒎𝒆 kahapon! Isang solid na simula para sa unang araw ng 2026. Salamat Juankada sa walang kupas na saya at energy! 💖🔥

Comment kung nanuod ka | ❤️ React kung ready ulit!

#Juan365PH #ColorGame #JuankadaVibes #2026Start #AllInJuanLive #ColorfulDay #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness","Muli nating balikan ang makulay at masayang 𝑪𝒐𝒍𝒐𝒓 𝑮𝒂𝒎𝒆 kahapon! Isang solid na simula para sa unang araw ng 2026. Salamat Juankada sa walang kupas na saya at energy! 💖🔥

Comment kung nanuod ka | ❤️ React kung ready ulit!

#Juan365PH #ColorGame #JuankadaVibes #2026Start #AllInJuanLive #ColorfulDay #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness",55,"01/01/2026 18:40",N/A,https://www.facebook.com/reel/2236221213568818/,0,0,Videos,,,,,Lifetime,120,85,11,10,0,1,3,,3,,738.659,7.034,0,0,0
122110076913144249,61584327477246,"Juankada Alexchoozy","𝐉𝐮𝐚𝐧𝟑𝟔𝟓 : 𝟏𝐬𝐭 𝐝𝐚𝐲 𝐨𝐟 𝟑𝟔𝟓 𝐝𝐚𝐲𝐬 (𝟏/𝟑𝟔𝟓)

Mga juankada at ka-chooziness! Sabay-sabay nating simulan paikutin ang ating kapalaran. Let’s start 2026 with full of Fun, Excitement and Good Vibes! 😎 

👉 Let’s make our lives 𝑪𝑶𝑳𝑶𝑹𝑭𝑼𝑳. 𝑫𝒐𝒖𝒃𝒍𝒆 𝒕𝒉𝒆 𝑭𝒖𝒏, 𝑻𝒓𝒊𝒑𝒍𝒆 𝒕𝒉𝒆 𝑬𝒙𝒄𝒊𝒕𝒆𝒎𝒆𝒏𝒕 with 𝑪𝑶𝑳𝑶𝑹𝑮𝑨𝑴𝑬 𝑳𝑰𝑽𝑬 only in 𝑱𝑼𝑨𝑵365.

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness! #1of365 #NewBeginnings #GoodVibesOnly #DayOne #FreshStart #TrendingNow",,0,"12/31/2025 21:06",N/A,https://www.facebook.com/JuankadaAlexchoozyOfficialPage/posts/pfbid02tLeiaMQDfj7KKrodzKEpbRQBJ8n7AEaJZMZKQjJiR22AHNpoCpFBEAH6ox8ohezVl,0,0,Photos,,,,,Lifetime,526,234,21,19,1,1,11,1,10,,,,,,
122109894531144249,61584327477246,"Juankada Alexchoozy","𝐖𝐞𝐥𝐜𝐨𝐦𝐞 𝟐𝟎𝟐𝟔!","𝐌𝐠𝐚 𝐤𝐚-𝐂𝐡𝐨𝐨𝐳𝐢𝐧𝐞𝐬𝐬!🎉

Simulan natin ang 2026 nang COLORFUL at puno ng GAMEFUL moments!

Watch and play kasama kami sa COLORGAME LIVE, exclusively sa JUAN365! 💚💙❤️🤍💛🩷

𝐀𝐋𝐋 𝐢𝐧 𝐉𝐔𝐀𝐍 𝐬𝐚 𝐬𝐚𝐲𝐚! ✨

#ColorGameLive #GoodVibesOnly #Gameful2026 #KulitanTime #LiveFun #TrendingNow #JuanKada #EntertainmentPH #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness!",21,"12/31/2025 18:00",N/A,https://www.facebook.com/reel/4321914381427900/,0,0,Videos,,,,,Lifetime,182,121,13,10,3,0,10,,10,,777.682,5.847,0,0,0
122109976197144249,61584327477246,"Juankada Alexchoozy","HAPPY NEW YEAR! WELCOME 2026!","From your @[61584327477246:2048:Juankada Alexchoozy], mga Ka-Chooziness, Happy, Happy New Year! 🎉🥂 HELLO 2026! 

Follow me for more saya and good vibes this year! ❤️💙

#KaChooziness #Juankada #HappyNewYear #NewYearVibes #GoodVibesOnly #NewYearNewGoals #JuankadaVibes #GoalSetter #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy",53,"12/31/2025 08:30",N/A,https://www.facebook.com/reel/2047573482733049/,0,0,Videos,,,,,Lifetime,152,121,17,17,0,0,8,,8,,1533.691,13.108,0,0,0
122109877881144249,61584327477246,"Juankada Alexchoozy","𝑱𝒖𝒂𝒏𝒌𝒂𝒅𝒂 𝑯𝒐𝒔𝒕𝒔 𝑵𝒆𝒘 𝒀𝒆𝒂𝒓’𝒔 𝑹𝒆𝒔𝒐𝒍𝒖𝒕𝒊𝒐𝒏𝒔 (𝑷𝒂𝒓𝒕 𝑰𝑰)✨","EP4: 𝑱𝒖𝒂𝒏𝒌𝒂𝒅𝒂 𝑯𝒐𝒔𝒕𝒔 𝑵𝒆𝒘 𝒀𝒆𝒂𝒓’𝒔 𝑹𝒆𝒔𝒐𝒍𝒖𝒕𝒊𝒐𝒏𝒔 (𝑷𝒂𝒓𝒕 𝑰𝑰)✨

Mga Ka-Chooziness, ano ang New Year’s resolution mo this 2026? 📝
Comment below 💬 and let’s inspire each other!

#NewYearNewGoals #EP4 #JuankadaVibes #Juan365Studios #Juan365 #JuankadaHosts #KaChooziness",168,"12/31/2025 02:00",N/A,https://www.facebook.com/reel/25657644713929795/,0,0,Videos,,,,,Lifetime,151,82,15,12,3,0,6,,6,,1382.549,11.332,0,0,0
122107437015170300,61585109026232,"Juankada Charm","✨Hi Lucky Charms!✨

BTS natin from last night: Awra muna before live natin kagabi 😘

Gusto niyo pa ba makakita ng other BTS content natin? Let me know! 🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","✨Hi Lucky Charms!✨

BTS natin from last night: Awra muna before live natin kagabi 😘

Gusto niyo pa ba makakita ng other BTS content natin? Let me know! 🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",16,"01/02/2026 22:47",N/A,https://www.facebook.com/reel/1593284341866766/,0,0,Videos,,,,,Lifetime,93,54,3,2,1,0,5,,5,,553.766,10.068,0,0,0
122107226871170300,61585109026232,"Juankada Charm","✨Lucky Charms!✨

Focus sa goal ngayong 2026, pero hindi masamang maging crush ng bayan on the side, charot! 😘

Drop a ""💖"" para sa ating new goals and missions this year!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","✨Lucky Charms!✨

Focus sa goal ngayong 2026, pero hindi masamang maging crush ng bayan on the side, charot! 😘

Drop a ""💖"" para sa ating new goals and missions this year!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",16,"01/02/2026 00:31",N/A,https://www.facebook.com/reel/1171128538522846/,0,0,Videos,,,,,Lifetime,85,50,5,5,0,0,5,,5,,484.915,7.949,0,0,0
122107192407170300,61585109026232,"Juankada Charm","✨Hi Lucky Charms!✨

Trying something new para sa salubong ng 2026! 🥶

Bagay ba ang ganitong OOTD para sainyong Lucky Charm? 

Comment your thoughts Juankada! 😘

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","✨Hi Lucky Charms!✨

Trying something new para sa salubong ng 2026! 🥶

Bagay ba ang ganitong OOTD para sainyong Lucky Charm? 

Comment your thoughts Juankada! 😘

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",14,"01/01/2026 20:00",N/A,https://www.facebook.com/reel/865463389225843/,0,0,Videos,,,,,Lifetime,151,106,9,8,1,0,4,,4,,617.874,5.106,0,0,0
122107162737170300,61585109026232,"Juankada Charm","✨ Your Lucky Charm is working!✨

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",,0,"01/01/2026 17:29",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02RhKytbuFExw7xQezKJBTSJbonKNXbDVnEbagPif5vSsSRy2jmANLsGmbq9BRy9EAl&id=61585109026232,0,1,Text,,,,,Lifetime,,23,2,2,0,0,10,,10,,,,,,
122107103499170300,61585109026232,"Juankada Charm","Hi Lucky Charms! ✨

Fit check muna tayo  magbigay ng unlimited lucky charms sainyo! 😘

Kita-kits tayo later sa Color Game Live ng Juan365 Studios! 

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",,0,"01/01/2026 09:40",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0cXPwsNHHj2pyVCdAvLLCZscnTsdJcSgANUtpmedruBzMo4ckyD6RdhihNMQEasbVl&id=61585109026232,0,0,Photos,,,,,Lifetime,90,34,8,7,0,1,4,2,2,,,,,,
122107066131170300,61585109026232,"Juankada Charm","✨ Hi Lucky Charms! ✨

I’m with Juankada Lance and Juankada Evo 😎
Samahan niyo kami mag-LIVE sa JUAN365 App & Website 🔥
1/365: The First Step!

Juankada, ready na ba kayo sa journey? 😎
Comment ""Ready"" ❤

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",,0,"01/01/2026 06:15",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid024EDvXzAiu64Gx59picHM3Xo77zpB4LMh1rcL6H3JRGVkuE5S4KQf1LtH51ncwWpyl&id=61585109026232,0,0,Photos,,,,,Lifetime,594,220,48,45,0,3,27,15,12,,,,,,
122106981825170300,61585109026232,"Juankada Charm","Hi Lucky Charms! ✨

Wearing the color of the year today! 🤍

Naniniwala din ba kayo na wearing the color of the year will bring you prosperity this year? 🤔

Comment niyo naman thoughts niyo sa baba! 

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","Hi Lucky Charms! ✨

Wearing the color of the year today! 🤍

Naniniwala din ba kayo na wearing the color of the year will bring you prosperity this year? 🤔

Comment niyo naman thoughts niyo sa baba! 

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",12,"01/01/2026 02:30",N/A,https://www.facebook.com/reel/877055318037017/,0,0,Videos,,,,,Lifetime,39,28,5,4,1,0,2,,2,,119.458,3.853,0,0,0
122106981777170300,61585109026232,"Juankada Charm","Happy New Year, Lucky Charms! ✨

Day JUAN of 365 na kaya let’s continue our progress for our family, friends, and ourselves! 💖

Let’s start the year right, Juankada! Drop a “😘” kung handa na kayo for this year!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","Happy New Year, Lucky Charms! ✨

Day JUAN of 365 na kaya let’s continue our progress for our family, friends, and ourselves! 💖

Let’s start the year right, Juankada! Drop a “😘” kung handa na kayo for this year!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",15,"12/31/2025 23:30",N/A,https://www.facebook.com/reel/1183243957330066/,0,0,Videos,,,,,Lifetime,48,23,6,6,0,0,2,,2,,201.898,5.938,0,0,0
122106973635170300,61585109026232,"Juankada Charm","Happy New Year, Lucky Charms! 🎆

Mas maraming panalo, mas maraming blessings, at mas makukulay na saya ngayong taon! 🥳

#Juan365 #Juan365Studios #ALLINJUANLIVE #Juan365ColorGame",,0,"12/31/2025 22:14",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0e5PHs8YUs5MjU7E9hKXaniGGKqKs4yWdQ5pJtWoY8JxdVmrvju1WD6P9uPBPq8gCl&id=61585109026232,0,1,Videos,,,,,Lifetime,,17,2,2,0,0,0,,,,,,,,
122106804843170300,61585109026232,"Juankada Charm","Hello, my Lucky Charms! ✨

Handa na ba kayo salubungin ang new year with unlimited swerte? I got you because your Lucky Charm is always present! 😘

Live na tayo! Now na sa Color Game Live ng Juan365 Studios! 

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",,0,"12/31/2025 05:37",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02TgSBvykbuP4neA5i7iseuJ3tD5rGJp9pX5y3SUyuJ1wbydp8SEjhzdrqE4v2fTm9l&id=61585109026232,0,0,Photos,,,,,Lifetime,130,47,10,8,1,1,14,7,7,,,,,,
122106672741170300,61585109026232,"Juankada Charm","Hi Lucky Charms! ✨

Nabigyan ba lahat ng saya at swerte sa ating live kagabi na hatid sainyo ng inyong Lucky Charm? Hopefully, YES! 

Drop a ""😘"" para sa mas madami pang lucky charms sa atin susunod na live!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","Hi Lucky Charms! ✨

Nabigyan ba lahat ng saya at swerte sa ating live kagabi na hatid sainyo ng inyong Lucky Charm? Hopefully, YES! 

Drop a ""😘"" para sa mas madami pang lucky charms sa atin susunod na live!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",19,"12/31/2025 00:30",N/A,https://www.facebook.com/reel/1569905794052995/,0,0,Videos,,,,,Lifetime,104,83,11,11,0,0,3,,3,,637.795,8.176,0,0,0
122110014897147740,61584432221426,"Juankada Evo","LIVE DONE, ENERGY STILL ON 🔥
Shoutout to everyone who played and stayed till the end — you made the live even better 🙌, Catch you on the next Color Game LIVE 😎

If you felt the thrill, hit that follow and turn on notifications 🔔

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #trend  #newyears2026 #fypシ #FollowNow #Livehosting #artist #TrendingPH #ViralPH #FBReelsPH",,0,"01/02/2026 21:10",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0Mp8x1vY8NmgS4gkxEYWmJ7h7jNfhBiK3beeRjMXXuqQ9R4c7hpajZ4w1KaYBQDNil&id=61584432221426,0,0,Photos,,,,,Lifetime,82,35,10,6,3,1,4,2,2,,,,,,
122109924699147740,61584432221426,"Juankada Evo",,,0,"01/02/2026 09:09",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid036773ipjs3w7xYypUVpaP6tnH57gmrZtSarNJcLATv5MASKe1yQqbajTUaNHGeSjbl&id=61584432221426,0,1,Photos,,,,,Lifetime,80,33,3,3,0,0,4,3,,1,,,,,
122109885615147740,61584432221426,"Juankada Evo","Halina't maglaro ng ColorGame Live! Hayaan nyong salubungin ang Ikalawang araw ng taon na puno ng swerte at pumaldo kasama si Juankada Evo! 🌈💫

Samahan nyo ang team NightShift mamaya 10pm-5am! With Juankada Ligaya Juankada Charm Makisaya at Manalo! Dahil AllinJuan sa Saya dito sa Juan365. 

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #trend #2026iscoming #newyears2026 #fypシ #FollowNow #Livehosting #artist #TrendingPH #ViralPH #FBReelsPH","Halina't maglaro ng ColorGame Live! Hayaan nyong salubungin ang Ikalawang araw ng taon na puno ng swerte at pumaldo kasama si Juankada Evo! 🌈💫

Samahan nyo ang team NightShift mamaya 10pm-5am! With @[61584067509799:2048:Juankada Ligaya] @[61585109026232:2048:Juankada Charm] Makisaya at Manalo! Dahil AllinJuan sa Saya dito sa Juan365. 

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #trend #2026iscoming #newyears2026 #fypシ #FollowNow #Livehosting #artist #TrendingPH #ViralPH #FBReelsPH",22,"01/02/2026 03:30",N/A,https://www.facebook.com/reel/1276047304369012/,0,0,Videos,,,,,Lifetime,93,29,6,5,0,1,2,,2,,508.126,8.065,0,0,0
