"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Negative feedback from users: Hide"
122183949746383179,61561495390240,"JUANKada Host Ikay","Good vibes talaga palagi pag kasama sina Juankada Alexchoozy at JUANkada DRAE! Kaya wag palampasin, abangan kami lagi sa Color Game ng Juan365 Studios! 🥰🌸",,0,"12/26/2025 21:39",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02inQmiHQBsZ56aauxSSx9wL6mszMfPMLSLCymbXx1oVRLPgBAxwUhvLiguvGqWD2cl,0,1,Photos,,,,,Lifetime,510,250,10,10,0,0,18,14,4,,,,,,,
122183943560383179,61561495390240,"JUANKada Host Ikay","OFFICIAL ANNOUNCEMENT ⁉️

May official name na tayo! Kayo na ang aking KIKAYS! 🌸

Abangan niyo lang ako lagi sa Color Game para tuloy-tuloy lang ang good vibes!

Comment ""🌸"" kung Kikay ka! And share this post para mas lumaki pa ang fam natin!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",,0,"12/26/2025 20:00",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0r4co7274P53e84QQmRxEewdQx1XQavmo49APM5XAqBqvaByBmcaUMdTeTNmhCtfXl,0,0,Photos,,,,,Lifetime,1372,615,20,17,0,3,47,19,28,,,,,,,
122183836556383179,61561495390240,"JUANKada Host Ikay","Download the app now Juankada at subukan na ang iyong swerte! ☘️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",,0,"12/25/2025 18:08",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02Wsf4ueLmmtEmTAtrm1qfbBvooF7kVAJybJWETN2idizXBmRMTLAWa16RbWnFqe6nl,0,1,Photos,,,,,Lifetime,451,236,9,9,0,0,9,3,6,,,,,,,
122183729024383179,61561495390240,"JUANKada Host Ikay","Merry Christmas everyJUAN! 🎄🎅🏻

Sana ay maging masaya, ligtas, at puno ng biyaya ang Pasko nating lahat kasama ang ating mga mahal sa buhay 🤍

Abangan niyo po ako sa Color Game at sabay sabay natin gawing makulay ang ating Pasko! 🌈

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",,0,"12/24/2025 18:51",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0wYRH4nPDwJTjv9JFft6fEYn3gUyH9V6tgdTt2ChpLgvbKNPqywFU6d5JhRaf1uz6l,0,0,Photos,,,,,Lifetime,2604,942,86,76,8,2,196,81,115,,,,,,,
122183560304383179,61561495390240,"JUANKada Host Ikay",🥰,,0,"12/23/2025 03:24",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0KzeB6ck3FGrpny4WH3JwNvBoqzX2a875JQP7fZmyGub8s8zVmcAqumGnrdLWN3gal,0,1,Videos,,,,,Lifetime,,219,7,7,0,0,5,,5,,,,,,,
122183483468383179,61561495390240,"JUANKada Host Ikay","Juankada! Ikaw papahuli kaba? 🤩",,0,"12/22/2025 09:36",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid031MgHAAaTPEfVnqiBaxUgNgWugBPrw3cBQEpbnNTHwQVsZHVAnw7LyuUzC3tAysZzl,0,1,Photos,,,,,Lifetime,471,250,11,10,0,1,10,2,8,,,,,,,
122183467148383179,61561495390240,"JUANKada Host Ikay","SANA NAKAPAG DOWNLOAD NA ANG LAHAT NG JUAN365 APP, Para hindi mahuli sa kulitan at tawanan. 🥰🫶🏻",,0,"12/22/2025 06:13",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0iAvDme1bawsqk1Dc9TnpagzkJWuRdkPK8duRtd8dfD6MWszdDo93ryUYAka8gXBsl,0,1,Photos,,,,,Lifetime,412,226,9,9,0,0,5,1,4,,,,,,,
122183466332383179,61561495390240,"JUANKada Host Ikay","KITA KITS LATER at 2AM mga JUANkada 🥰🫶🏻",,0,"12/22/2025 06:04",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02JJa1sQ6G99ZBht2KTVxc3rSoMwKMtj9RaziWL1cfr7Ekivxsarnpn6qmaMCFGokHl,0,1,Photos,,,,,Lifetime,347,202,10,10,0,0,9,5,4,,,,,,,
122183337830383179,61561495390240,"JUANKada Host Ikay","JUANKada Host Ikay updated their cover photo.",,0,"12/21/2025 00:43",N/A,https://www.facebook.com/photo.php?fbid=122183337830383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,2,2,9,9,0,0,0,,,,,,,,,
122183324024383179,61561495390240,"JUANKada Host Ikay","COLOR GAME LIVE 
#Juan365 #juan365studios",,0,"12/20/2025 21:51",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0NGgELsrfVFqxwcWsiVCXDSrw4SiQNjfACVCTHXBDxfpgKKz2BFdf6GgK96ydfFkal,0,1,Videos,,,,,Lifetime,,354,4,4,0,0,6,,6,,,,,,,
122183323658383179,61561495390240,"JUANKada Host Ikay","Hi Juankada! 👑 It’s your girl JuanKada Ikay, isa sa mga sasama sa inyo sa saya ng Color Game ng Juan365 Studios!

Kitakits everyJUAN!

#Juan365Studios #JuankadaIkay #Juan365 #ALLINJUANLIVE #JuankadaHosts #Juankada",,0,"12/20/2025 21:47",N/A,https://www.facebook.com/photo.php?fbid=122183323658383179&set=a.122102184470383179&type=3,0,0,Photos,,,,,Lifetime,8100,2545,159,139,9,11,46,13,33,,,,,,,
122099922429185509,61585565286734,"JuanKada Star","JuanKada Star added a new photo.",,0,"12/27/2025 03:40",N/A,https://www.facebook.com/photo.php?fbid=122099922429185509&set=a.122098993131185509&type=3,0,0,Photos,,,,,Lifetime,3596,1194,113,97,6,10,31,7,24,,,,,,,
122104123587185509,61585565286734,"JuanKada Star","Kamusta, Star Babies? ⭐️

Sana masaya at puno ng good energy ang simula ng 2026 niyo! Sama-sama tayong mag shine this year 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",,0,"12/31/2025 21:14",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid033eAUQNczXg8jTfN7B6Zeps4tgxWuvT7gBdeEa6zLPgN9S8BmwUbN1NZnFGMHNWHl,0,0,Photos,,,,,Lifetime,269,110,10,9,0,1,5,3,2,,,,,,,
122103968535185509,61585565286734,"JuanKada Star","Good morning! 🌞 It’s your Juankada star ✨ Join me with Juankada Shann  and Sabbie—watch now on the Juan365 app and website!

#Juan365 #Juan365Studios #ALLINJUANLIVE #Juan365ColorGame",,0,"12/31/2025 16:50",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0ggeDMXmeAyV1cKzCqcXMjbcAN4EiveDYwqdJNHd4hLr4gbs1MHcCzpbVzUhfEJpLl,0,0,Photos,,,,,Lifetime,920,374,37,33,2,2,53,30,23,,,,,,,
122103331443185509,61585565286734,"JuanKada Star","Despite all the challenges and tough decisions, I’m grateful I made it through this year. 🤍

Samahan niyo ako, my Star Babies, sa 2026 na puno ng saya, ngiti, at pag-asa.

Here’s to making 2026 our year! ⭐️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar",,0,"12/31/2025 01:00",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0t6tk7k85eVanJvHSkJ1DYBk1AumPRR9xAqE3cpmx61xZmUdtkEUi1f2F4EEjstpYl,0,0,Photos,,,,,Lifetime,190,88,7,6,0,1,4,,4,,,,,,,
122103108813185509,61585565286734,"JuanKada Star","Already rocking the color of the year! 🤍✨

Ready na ba kayong mag-bye 2025 and say hello 2026, Star Babies?

Don’t forget to wear Pantone — para swertihin! ⭐️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar",,0,"12/30/2025 19:03",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0JwGMxiahWGfBFJW7i1khCJFdFgwr1dFJaiM9CwoFfBXqXt9meZKTaKoxJetXALppl,0,0,Photos,,,,,Lifetime,450,250,18,16,0,2,5,1,4,,,,,,,
122102623905185509,61585565286734,"JuanKada Star","FOLLOW & SHARE na Star Babies! ⭐️🫶🫰 May surprise dito sa Juan365 😍❤️",,0,"12/30/2025 05:36",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0RRPJLhtWornuaFbMqkxyhYZAUjFLWAFVtAMtmD8kvx8KU22TxkPsiaqR6RZBa3ZNl,0,1,Photos,,,,,Lifetime,227,96,4,4,0,0,10,4,6,,,,,,,
122102484819185509,61585565286734,"JuanKada Star","Hey Star Babies! ⭐️

This is a reminder to always be glowing, always be kind, and always be you! 😘🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar","Hey Star Babies! ⭐️

This is a reminder to always be glowing, always be kind, and always be you! 😘🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar",14,"12/30/2025 02:35",N/A,https://www.facebook.com/reel/1248793953978557/,0,0,Videos,,,,,Lifetime,223,153,15,15,0,0,3,,3,,950.466,5.193,0,0,0,
122102244117185509,61585565286734,"JuanKada Star",,,0,"12/29/2025 21:40",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0pEMcCb7FEpQdpZvjn17AHZnFwweGdgiWSik9fUkpVdQLY1uBeTgBoATrYEYmPvZ5l,0,1,Photos,,,,,Lifetime,206,89,7,7,0,0,11,7,4,,,,,,,
122102194485185509,61585565286734,"JuanKada Star","Lucky Star ⭐️","Lucky night sa Color Game kagabi! 😱

Abangan niyo ulit ako sa Color Game, baka ikaw na next na mabigyan ko ng shining moment! ✨

Comment ""Manifesting!"" kung gusto mo rin mabasbasan ng swerte dust! 💫",23,"12/29/2025 20:03",N/A,https://www.facebook.com/reel/918139720541826/,0,0,Videos,,,,,Lifetime,774,203,43,36,3,4,5,,5,,6784.019,11.576,0,0,0,
122102181165185509,61585565286734,"JuanKada Star","Share your 𝘄𝗶𝗻𝗻𝗶𝗻𝗴 𝗺𝗼𝗼𝗱 na Star babies! 🥰⭐️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar",,0,"12/29/2025 19:35",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02KVvDx6M9f2mZF117EuG1M13eLNqUEFC3zZK1ZgfWiNVanQqsipZSSi9DJF1XZ3uRl,0,1,Photos,,,,,Lifetime,163,86,9,9,0,0,4,,4,,,,,,,
122102140431185509,61585565286734,"JuanKada Star",,,0,"12/29/2025 18:32",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02LDxtL7vP5TYtV6Y1MSxWyjRGR6v1CsWBG21F5wdi7yp2VLtBY81JD7L9kZbYf3PYl,0,1,Photos,,,,,Lifetime,165,83,5,5,0,0,10,6,4,,,,,,,
122101646247185509,61585565286734,"JuanKada Star","JuanKada Star updated their cover photo.",,0,"12/29/2025 06:47",N/A,https://www.facebook.com/photo.php?fbid=122101646247185509&set=a.122101646277185509&type=3,0,0,Photos,,,,,Lifetime,2,1,9,8,0,1,0,,,,,,,,,
122101402209185509,61585565286734,"JuanKada Star","Juankada! Watch me live now sa Color Game! ⭐️

Huwag palampasin, marami pang shining moments ang mangyayari! ✨

See you there!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar",,0,"12/29/2025 01:00",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02qAjzoXhwyPpGuXYH51S5LyAR8rYopYUzaEfh7CQMxce5ZwvoFmJyKYbL7SKWJx1pl,0,0,Photos,,,,,Lifetime,172,85,5,5,0,0,2,,2,,,,,,,
122101346901185509,61585565286734,"JuanKada Star","Barbie girl 🩷","Living my barbie girl moment! 🎀⭐️

Samahan niyo ako now LIVE sa Color Game | 2pm–10pm!

See you, Star Babies! 🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar",9,"12/28/2025 23:12",N/A,https://www.facebook.com/reel/843921425280579/,0,0,Videos,,,,,Lifetime,749,220,46,45,0,1,9,,9,,2823.068,5.367,0,0,0,
122101164297185509,61585565286734,"JuanKada Star","See you Star Babies at 2pm-10pm 🫰🫶","Hello Juankada! I’m your new Juankada Host — STAR! ⭐

Bitbit ko ang kinang na maghahatid ng saya at excitement for everyJUAN! ✨

Excited na ba kayo? kasi ako, EXICTED NA EXCITED NA! Shine with me dito lang sa Color Game ng Juan365!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar",25,"12/28/2025 17:14",N/A,https://www.facebook.com/reel/753711967776581/,0,0,Videos,,,,,Lifetime,433,229,27,24,2,1,17,,17,,3051.298,9.108,0,0,0,
122100953055144249,61584327477246,"Juankada Alexchoozy","Congrats Juankada, Dennis Trillo! Movie Actor of the Year at the PMPC 41st Star Awards for Movies 2025 for Green Bones! 👏🏆
Well deserved!

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #DennisTrillo  #PMPCStarAwards  #GreenBones",,0,"12/01/2025 18:19",N/A,https://www.facebook.com/JuankadaAlexchoozyOfficialPage/posts/pfbid02kwM5e8pMvpbKrKP7SWbP8x3aB2x25v1M7RwuT7YRkFgA81B2kPdUzYpwaujQq9Gql,0,1,Photos,,,,,Lifetime,159,75,8,8,0,0,1,,1,,,,,,,
122110076913144249,61584327477246,"Juankada Alexchoozy","𝐉𝐮𝐚𝐧𝟑𝟔𝟓 : 𝟏𝐬𝐭 𝐝𝐚𝐲 𝐨𝐟 𝟑𝟔𝟓 𝐝𝐚𝐲𝐬 (𝟏/𝟑𝟔𝟓)

Mga juankada at ka-chooziness! Sabay-sabay nating simulan paikutin ang ating kapalaran. Let’s start 2026 with full of Fun, Excitement and Good Vibes! 😎 

👉 Let’s make our lives 𝑪𝑶𝑳𝑶𝑹𝑭𝑼𝑳. 𝑫𝒐𝒖𝒃𝒍𝒆 𝒕𝒉𝒆 𝑭𝒖𝒏, 𝑻𝒓𝒊𝒑𝒍𝒆 𝒕𝒉𝒆 𝑬𝒙𝒄𝒊𝒕𝒆𝒎𝒆𝒏𝒕 with 𝑪𝑶𝑳𝑶𝑹𝑮𝑨𝑴𝑬 𝑳𝑰𝑽𝑬 only in 𝑱𝑼𝑨𝑵365.

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness! #1of365 #NewBeginnings #GoodVibesOnly #DayOne #FreshStart #TrendingNow",,0,"12/31/2025 21:06",N/A,https://www.facebook.com/JuankadaAlexchoozyOfficialPage/posts/pfbid0pK416YCezpqKJDc9V9x8bhdqpeLjxcZePFFhPuaHcucSVky1gZwY3UHwC8kYGKVzl,0,0,Photos,,,,,Lifetime,631,271,21,19,1,1,11,1,10,,,,,,,
122109894531144249,61584327477246,"Juankada Alexchoozy","𝐖𝐞𝐥𝐜𝐨𝐦𝐞 𝟐𝟎𝟐𝟔!","𝐌𝐠𝐚 𝐤𝐚-𝐂𝐡𝐨𝐨𝐳𝐢𝐧𝐞𝐬𝐬!🎉

Simulan natin ang 2026 nang COLORFUL at puno ng GAMEFUL moments!

Watch and play kasama kami sa COLORGAME LIVE, exclusively sa JUAN365! 💚💙❤️🤍💛🩷

𝐀𝐋𝐋 𝐢𝐧 𝐉𝐔𝐀𝐍 𝐬𝐚 𝐬𝐚𝐲𝐚! ✨

#ColorGameLive #GoodVibesOnly #Gameful2026 #KulitanTime #LiveFun #TrendingNow #JuanKada #EntertainmentPH #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness!",21,"12/31/2025 18:00",N/A,https://www.facebook.com/reel/4321914381427900/,0,0,Videos,,,,,Lifetime,204,128,13,10,3,0,11,,11,,843.461,5.737,0,0,0,
122109976197144249,61584327477246,"Juankada Alexchoozy","HAPPY NEW YEAR! WELCOME 2026!","From your @[61584327477246:2048:Juankada Alexchoozy], mga Ka-Chooziness, Happy, Happy New Year! 🎉🥂 HELLO 2026! 

Follow me for more saya and good vibes this year! ❤️💙

#KaChooziness #Juankada #HappyNewYear #NewYearVibes #GoodVibesOnly #NewYearNewGoals #JuankadaVibes #GoalSetter #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy",53,"12/31/2025 08:30",N/A,https://www.facebook.com/reel/2047573482733049/,0,0,Videos,,,,,Lifetime,181,132,17,17,0,0,9,,9,,1667.752,11.828,0,0,0,
122109877881144249,61584327477246,"Juankada Alexchoozy","𝑱𝒖𝒂𝒏𝒌𝒂𝒅𝒂 𝑯𝒐𝒔𝒕𝒔 𝑵𝒆𝒘 𝒀𝒆𝒂𝒓’𝒔 𝑹𝒆𝒔𝒐𝒍𝒖𝒕𝒊𝒐𝒏𝒔 (𝑷𝒂𝒓𝒕 𝑰𝑰)✨","EP4: 𝑱𝒖𝒂𝒏𝒌𝒂𝒅𝒂 𝑯𝒐𝒔𝒕𝒔 𝑵𝒆𝒘 𝒀𝒆𝒂𝒓’𝒔 𝑹𝒆𝒔𝒐𝒍𝒖𝒕𝒊𝒐𝒏𝒔 (𝑷𝒂𝒓𝒕 𝑰𝑰)✨

Mga Ka-Chooziness, ano ang New Year’s resolution mo this 2026? 📝
Comment below 💬 and let’s inspire each other!

#NewYearNewGoals #EP4 #JuankadaVibes #Juan365Studios #Juan365 #JuankadaHosts #KaChooziness",168,"12/31/2025 02:00",N/A,https://www.facebook.com/reel/25657644713929795/,0,0,Videos,,,,,Lifetime,175,88,15,12,3,0,6,,6,,1724.869,12.499,0,0,0,
122109899895144249,61584327477246,"Juankada Alexchoozy","𝐊𝐚-𝐂𝐡𝐨𝐨𝐳𝐢𝐧𝐞𝐬𝐬! Ready na ba kayo sa ultimate fun? 🎉
Halina’t maki-bonding sa Juan365 Color Game Live konting tawa, konting kulitan, at sobra-sobrang saya! ✨

👉 Watch, join, at mag-comment live! Kita-kits, mga besties! 2pm to 10pm today 🥰

#Juan365PH #KaChooziness #AllInJuanSaSaya #ColorGameLive #GoodVibesOnly #KulitanTime #LiveFun #TrendingNow #JuanKada #EntertainmentPH #CommunityFun #Alexchoozy",,0,"12/30/2025 21:45",N/A,https://www.facebook.com/JuankadaAlexchoozyOfficialPage/posts/pfbid02jJLN33qY5tXzbsiFWFFv1vVnAgH7d1rxW5w5bLbxhSNYQuJQy1y7cqdwzFvdpBPcl,0,0,Photos,,,,,Lifetime,519,212,14,13,0,1,10,1,9,,,,,,,
122109893517144249,61584327477246,"Juankada Alexchoozy","𝐓𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐟𝐨𝐫 𝟐𝟎𝟐𝟓, 𝐆𝐫𝐚𝐭𝐞𝐟𝐮𝐥 𝐟𝐨𝐫 𝟐𝟎𝟐𝟔! 💛","𝐓𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐟𝐨𝐫 𝟐𝟎𝟐𝟓, 𝐆𝐫𝐚𝐭𝐞𝐟𝐮𝐥 𝐟𝐨𝐫 𝟐𝟎𝟐𝟔! 💛

Let’s all pray and welcome the new year, mga ka-Chooziness 🙏🏻✨

#Juan365PH #AllInJuanSaSaya #GoodVibesOnly #Hello2026 #GratefulHeart #KaChooziness #TrendingNow #JuanKada #NewYearVibes #Alexchoozy",21,"12/30/2025 20:38",N/A,https://www.facebook.com/reel/2121331421608459/,0,0,Videos,,,,,Lifetime,140,96,8,8,0,0,3,,3,,485.93,4.153,0,0,0,
122109877065144249,61584327477246,"Juankada Alexchoozy","𝐀𝐥𝐞𝐱𝐜𝐡𝐨𝐨𝐳𝐲 𝐆𝐚𝐦𝐞 𝐇𝐢𝐠𝐡𝐥𝐢𝐠𝐡𝐭𝐬","Ka-Chooziness, nagenjoy ba kayo kahapon? Here’s the highlights of our Bonding yesterday.

Samahan nyo ako ulit mamaya sa Juan365 Color Game Live!

#KaChooziness #Juan365 #ColorGameLive #JuankadaVibes #ALLINJUANLIVE 
#NewYearNewGoals #JuankadaVibes #GoalSetter #Juan365Studios #JuankadaHosts #JuankadaAlexchoozy",77,"12/30/2025 17:20",N/A,https://www.facebook.com/reel/1185567760364200/,0,0,Videos,,,,,Lifetime,193,137,15,15,0,0,7,,7,,1053.759,6.754,0,0,0,
